"Notes","Year","Year Code","State","State Code",Deaths,Population,Crude Rate
,"2006","2006","Oklahoma","40",5138,310482,1654.8
,"2006","2006","Oregon","41",3913,318740,1227.6
,"2006","2006","Pennsylvania","42",14896,1084497,1373.5
,"2006","2006","Rhode Island","44",1036,85219,1215.7
,"2006","2006","South Carolina","45",6128,395847,1548.1
,"2006","2006","South Dakota","46",780,62879,1240.5
,"2006","2006","Tennessee","47",8786,537315,1635.2
,"2006","2006","Texas","48",22111,1625473,1360.3
,"2006","2006","Utah","49",1619,150024,1079.2
,"2006","2006","Vermont","50",631,56433,1118.1
,"2006","2006","Virginia","51",8080,623062,1296.8
,"2006","2006","Washington","53",6023,510690,1179.4
,"2006","2006","West Virginia","54",3002,181774,1651.5
,"2006","2006","Wisconsin","55",5312,446593,1189.4
,"2006","2006","Wyoming","56",601,44480,1351.2
"Total","2006","2006",,,320231,24086454,1329.5
,"2007","2007","Alabama","01",7201,433840,1659.8
,"2007","2007","Alaska","02",549,47635,1152.5
,"2007","2007","Arizona","04",6396,547564,1168.1
,"2007","2007","Arkansas","05",4261,271898,1567.1
,"2007","2007","California","06",30326,2715241,1116.9
,"2007","2007","Colorado","08",3866,375920,1028.4
,"2007","2007","Connecticut","09",3264,311498,1047.8
,"2007","2007","Delaware","10",1008,83191,1211.7
,"2007","2007","District of Columbia","11",810,46405,1745.5
,"2007","2007","Florida","12",22054,1872535,1177.8
,"2007","2007","Georgia","13",10802,727337,1485.1
,"2007","2007","Hawaii","15",1240,119903,1034.2
,"2007","2007","Idaho","16",1380,126184,1093.6
,"2007","2007","Illinois","17",13166,1023681,1286.1
,"2007","2007","Indiana","18",7600,539791,1408.0
,"2007","2007","Iowa","19",3098,261576,1184.4
,"2007","2007","Kansas","20",2872,225922,1271.2
,"2007","2007","Kentucky","21",6308,388234,1624.8
,"2007","2007","Louisiana","22",6022,372044,1618.6
,"2007","2007","Maine","23",1681,133489,1259.3
,"2007","2007","Maryland","24",5937,477028,1244.6
,"2007","2007","Massachusetts","25",6155,552018,1115.0
,"2007","2007","Michigan","26",11734,871594,1346.3
,"2007","2007","Minnesota","27",4346,420460,1033.6
,"2007","2007","Mississippi","28",4380,253710,1726.4
,"2007","2007","Missouri","29",7444,526461,1414.0
,"2007","2007","Montana","30",1145,93980,1218.3
,"2007","2007","Nebraska","31",1783,144275,1235.8
,"2007","2007","Nevada","32",3206,233338,1374.0
,"2007","2007","New Hampshire","33",1343,119075,1127.9
,"2007","2007","New Jersey","34",8495,745974,1138.8
,"2007","2007","New Mexico","35",2178,179231,1215.2
,"2007","2007","New York","36",19101,1646422,1160.2
,"2007","2007","North Carolina","37",11537,812805,1419.4
,"2007","2007","North Dakota","38",601,54503,1102.7
,"2007","2007","Ohio","39",14440,1013534,1424.7
,"2007","2007","Oklahoma","40",5320,328177,1621.1
,"2007","2007","Oregon","41",4136,344730,1199.8
,"2007","2007","Pennsylvania","42",15205,1150668,1321.4
,"2007","2007","Rhode Island","44",1090,90868,1199.5
,"2007","2007","South Carolina","45",6544,426365,1534.8
,"2007","2007","South Dakota","46",822,66334,1239.2
,"2007","2007","Tennessee","47",8950,572845,1562.4
,"2007","2007","Texas","48",23399,1741353,1343.7
,"2007","2007","Utah","49",1707,160245,1065.2
,"2007","2007","Vermont","50",701,60545,1157.8
,"2007","2007","Virginia","51",8418,666043,1263.9
,"2007","2007","Washington","53",6295,553047,1138.2
,"2007","2007","West Virginia","54",3157,192401,1640.8
,"2007","2007","Wisconsin","55",5575,474169,1175.7
,"2007","2007","Wyoming","56",595,47811,1244.5
"Total","2007","2007",,,329643,25643897,1285.5
,"2008","2008","Alabama","01",7485,452629,1653.7
,"2008","2008","Alaska","02",611,50930,1199.7
,"2008","2008","Arizona","04",6649,580191,1146.0
,"2008","2008","Arkansas","05",4624,282887,1634.6
,"2008","2008","California","06",31761,2858852,1111.0
,"2008","2008","Colorado","08",4202,403072,1042.5
,"2008","2008","Connecticut","09",3205,326445,981.8
,"2008","2008","Delaware","10",1102,88113,1250.7
,"2008","2008","District of Columbia","11",775,47849,1619.7
,"2008","2008","Florida","12",23141,1956531,1182.8
,"2008","2008","Georgia","13",11249,773811,1453.7
,"2008","2008","Hawaii","15",1287,127644,1008.3
,"2008","2008","Idaho","16",1524,134242,1135.3
,"2008","2008","Illinois","17",13944,1067011,1306.8
,"2008","2008","Indiana","18",8288,564508,1468.2
,"2008","2008","Iowa","19",3331,272648,1221.7
,"2008","2008","Kansas","20",3172,236307,1342.3
,"2008","2008","Kentucky","21",6656,406567,1637.1
,"2008","2008","Louisiana","22",6314,389959,1619.1
,"2008","2008","Maine","23",1710,141092,1212.0
,"2008","2008","Maryland","24",6076,501222,1212.2
,"2008","2008","Massachusetts","25",6164,581073,1060.8
,"2008","2008","Michigan","26",12270,912676,1344.4
,"2008","2008","Minnesota","27",4582,441950,1036.8
,"2008","2008","Mississippi","28",4752,263692,1802.1
,"2008","2008","Missouri","29",7857,549666,1429.4
,"2008","2008","Montana","30",1211,99578,1216.1
,"2008","2008","Nebraska","31",1787,150646,1186.2
,"2008","2008","Nevada","32",3370,245898,1370.5
,"2008","2008","New Hampshire","33",1352,126970,1064.8
,"2008","2008","New Jersey","34",8817,776763,1135.1
,"2008","2008","New Mexico","35",2256,189258,1192.0
,"2008","2008","New York","36",19695,1711164,1151.0
,"2008","2008","North Carolina","37",11822,862236,1371.1
,"2008","2008","North Dakota","38",709,56859,1246.9
,"2008","2008","Ohio","39",14977,1058730,1414.6
,"2008","2008","Oklahoma","40",5707,341410,1671.6
