"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Apr., 1999"	"1999/04"	"Hawaii"	"15"	657	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Idaho"	"16"	819	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Illinois"	"17"	8747	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Indiana"	"18"	4407	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Iowa"	"19"	2239	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Kansas"	"20"	2033	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Kentucky"	"21"	3346	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Louisiana"	"22"	3212	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Maine"	"23"	975	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Maryland"	"24"	3427	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Massachusetts"	"25"	4394	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Michigan"	"26"	6934	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Minnesota"	"27"	2939	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Mississippi"	"28"	2170	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Missouri"	"29"	4652	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Montana"	"30"	653	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Nebraska"	"31"	1272	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Nevada"	"32"	1223	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"New Hampshire"	"33"	779	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"New Jersey"	"34"	5994	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"New Mexico"	"35"	1065	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"New York"	"36"	12575	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"North Carolina"	"37"	5679	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"North Dakota"	"38"	519	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Ohio"	"39"	9196	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Oklahoma"	"40"	2761	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Oregon"	"41"	2531	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Pennsylvania"	"42"	10751	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Rhode Island"	"44"	740	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"South Carolina"	"45"	3072	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"South Dakota"	"46"	563	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Tennessee"	"47"	4493	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Texas"	"48"	11775	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Utah"	"49"	988	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Vermont"	"50"	412	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Virginia"	"51"	4503	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Washington"	"53"	3673	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"West Virginia"	"54"	1803	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Wisconsin"	"55"	3687	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Wyoming"	"56"	286	Not Applicable	Not Applicable
"Total"	"Apr., 1999"	"1999/04"			194568	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Alabama"	"01"	3612	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Alaska"	"02"	202	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Arizona"	"04"	3117	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Arkansas"	"05"	2298	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"California"	"06"	18338	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Colorado"	"08"	2090	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Connecticut"	"09"	2375	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Delaware"	"10"	545	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"District of Columbia"	"11"	457	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Florida"	"12"	13020	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Georgia"	"13"	4991	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Hawaii"	"15"	658	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	"Idaho"	"16"	785	Not Applicable	Not Applicable
