"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2021 Week 23 ending June 12, 2021"	"2021/23"	3806	Not Applicable	Not Applicable
	"2021 Week 24 ending June 19, 2021"	"2021/24"	3806	Not Applicable	Not Applicable
	"2021 Week 25 ending June 26, 2021"	"2021/25"	3602	Not Applicable	Not Applicable
	"2021 Week 26 ending July 03, 2021"	"2021/26"	3695	Not Applicable	Not Applicable
	"2021 Week 27 ending July 10, 2021"	"2021/27"	3713	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021"	"2021/28"	3709	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021"	"2021/29"	3812	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021"	"2021/30"	4043	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021"	"2021/31"	4373	Not Applicable	Not Applicable
	"2021 Week 32 ending August 14, 2021"	"2021/32"	4590	Not Applicable	Not Applicable
	"2021 Week 33 ending August 21, 2021"	"2021/33"	4726	Not Applicable	Not Applicable
	"2021 Week 34 ending August 28, 2021"	"2021/34"	4868	Not Applicable	Not Applicable
	"2021 Week 35 ending September 04, 2021"	"2021/35"	5039	Not Applicable	Not Applicable
	"2021 Week 36 ending September 11, 2021"	"2021/36"	5017	Not Applicable	Not Applicable
	"2021 Week 37 ending September 18, 2021"	"2021/37"	4880	Not Applicable	Not Applicable
	"2021 Week 38 ending September 25, 2021"	"2021/38"	4949	Not Applicable	Not Applicable
	"2021 Week 39 ending October 02, 2021"	"2021/39"	4605	Not Applicable	Not Applicable
	"2021 Week 40 ending October 09, 2021"	"2021/40"	4362	Not Applicable	Not Applicable
	"2021 Week 41 ending October 16, 2021"	"2021/41"	4252	Not Applicable	Not Applicable
	"2021 Week 42 ending October 23, 2021"	"2021/42"	4081	Not Applicable	Not Applicable
	"2021 Week 43 ending October 30, 2021"	"2021/43"	3995	Not Applicable	Not Applicable
	"2021 Week 44 ending November 06, 2021"	"2021/44"	4012	Not Applicable	Not Applicable
	"2021 Week 45 ending November 13, 2021"	"2021/45"	3925	Not Applicable	Not Applicable
	"2021 Week 46 ending November 20, 2021"	"2021/46"	3825	Not Applicable	Not Applicable
	"2021 Week 47 ending November 27, 2021"	"2021/47"	3977	Not Applicable	Not Applicable
	"2021 Week 48 ending December 04, 2021"	"2021/48"	3802	Not Applicable	Not Applicable
	"2021 Week 49 ending December 11, 2021"	"2021/49"	4063	Not Applicable	Not Applicable
	"2021 Week 50 ending December 18, 2021"	"2021/50"	3977	Not Applicable	Not Applicable
	"2021 Week 51 ending December 25, 2021"	"2021/51"	4038	Not Applicable	Not Applicable
	"2021 Week 52 ending January 01, 2022"	"2021/52"	4320	Not Applicable	Not Applicable
	"2021 Week Not Available"	"2021/99"	53	Not Applicable	Not Applicable
	"2022 Week 01 ending January 08, 2022 (provisional)"	"2022/01"	4375	Not Applicable	Not Applicable
	"2022 Week 02 ending January 15, 2022 (provisional)"	"2022/02"	4331	Not Applicable	Not Applicable
	"2022 Week 03 ending January 22, 2022 (provisional)"	"2022/03"	4195	Not Applicable	Not Applicable
	"2022 Week 04 ending January 29, 2022 (provisional)"	"2022/04"	3983	Not Applicable	Not Applicable
	"2022 Week 05 ending February 05, 2022 (provisional)"	"2022/05"	3897	Not Applicable	Not Applicable
	"2022 Week 06 ending February 12, 2022 (provisional)"	"2022/06"	3934	Not Applicable	Not Applicable
