"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jun., 2017","2017/06",202104,Not Applicable,Not Applicable
,"Jul., 2017","2017/07",204765,Not Applicable,Not Applicable
,"Aug., 2017","2017/08",205002,Not Applicable,Not Applicable
,"Sep., 2017","2017/09",203538,Not Applicable,Not Applicable
,"Oct., 2017","2017/10",213598,Not Applicable,Not Applicable
,"Nov., 2017","2017/11",213487,Not Applicable,Not Applicable
,"Dec., 2017","2017/12",239504,Not Applicable,Not Applicable
,"Jan., 2018","2018/01",266078,Not Applicable,Not Applicable
,"Feb., 2018","2018/02",219824,Not Applicable,Not Applicable
,"Mar., 2018","2018/03",230112,Not Applicable,Not Applicable
,"Apr., 2018","2018/04",215749,Not Applicable,Not Applicable
,"May, 2018","2018/05",211244,Not Applicable,Not Applicable
,"Jun., 2018","2018/06",203122,Not Applicable,Not Applicable
,"Jul., 2018","2018/07",207582,Not Applicable,Not Applicable
,"Aug., 2018","2018/08",206895,Not Applicable,Not Applicable
,"Sep., 2018","2018/09",202228,Not Applicable,Not Applicable
,"Oct., 2018","2018/10",216196,Not Applicable,Not Applicable
,"Nov., 2018","2018/11",215655,Not Applicable,Not Applicable
,"Dec., 2018","2018/12",230503,Not Applicable,Not Applicable
,"Jan., 2019","2019/01",238124,Not Applicable,Not Applicable
,"Feb., 2019","2019/02",215068,Not Applicable,Not Applicable
,"Mar., 2019","2019/03",235799,Not Applicable,Not Applicable
,"Apr., 2019","2019/04",217402,Not Applicable,Not Applicable
,"May, 2019","2019/05",218859,Not Applicable,Not Applicable
,"Jun., 2019","2019/06",208283,Not Applicable,Not Applicable
,"Jul., 2019","2019/07",211744,Not Applicable,Not Applicable
,"Aug., 2019","2019/08",209757,Not Applicable,Not Applicable
,"Sep., 2019","2019/09",205871,Not Applicable,Not Applicable
,"Oct., 2019","2019/10",219655,Not Applicable,Not Applicable
,"Nov., 2019","2019/11",221011,Not Applicable,Not Applicable
,"Dec., 2019","2019/12",236634,Not Applicable,Not Applicable
,"Jan., 2020 ","2020/01",244099,Not Applicable,Not Applicable
,"Feb., 2020 ","2020/02",225696,Not Applicable,Not Applicable
,"Mar., 2020 ","2020/03",248690,Not Applicable,Not Applicable
,"Apr., 2020 ","2020/04",298028,Not Applicable,Not Applicable
,"May, 2020 ","2020/05",258794,Not Applicable,Not Applicable
,"Jun., 2020 ","2020/06",230488,Not Applicable,Not Applicable
,"Jul., 2020 ","2020/07",256435,Not Applicable,Not Applicable
,"Aug., 2020 ","2020/08",255074,Not Applicable,Not Applicable
,"Sep., 2020 ","2020/09",236987,Not Applicable,Not Applicable
,"Oct., 2020 ","2020/10",252651,Not Applicable,Not Applicable
,"Nov., 2020 ","2020/11",279942,Not Applicable,Not Applicable
,"Dec., 2020 ","2020/12",339408,Not Applicable,Not Applicable
"Total",,,52988875,Not Applicable,Not Applicable
