"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022","Kansas","20",2338,345827,676.1
,"2022 (provisional)","2022","Kentucky","21",5655,588207,961.4
,"2022 (provisional)","2022","Louisiana","22",5161,571554,903.0
,"2022 (provisional)","2022","Maine","23",1367,195597,698.9
,"2022 (provisional)","2022","Maryland","24",4895,844356,579.7
,"2022 (provisional)","2022","Massachusetts","25",4842,957314,505.8
,"2022 (provisional)","2022","Michigan","26",9079,1338829,678.1
,"2022 (provisional)","2022","Minnesota","27",3795,720752,526.5
,"2022 (provisional)","2022","Mississippi","28",3760,372303,1009.9
,"2022 (provisional)","2022","Missouri","29",6316,778776,811.0
,"2022 (provisional)","2022","Montana","30",890,131109,678.8
,"2022 (provisional)","2022","Nebraska","31",1315,227712,577.5
,"2022 (provisional)","2022","Nevada","32",2728,402724,677.4
,"2022 (provisional)","2022","New Hampshire","33",1161,205300,565.5
,"2022 (provisional)","2022","New Jersey","34",6623,1294110,511.8
,"2022 (provisional)","2022","New Mexico","35",2192,250299,875.8
,"2022 (provisional)","2022","New York","36",13935,2662544,523.4
,"2022 (provisional)","2022","North Carolina","37",10425,1393302,748.2
,"2022 (provisional)","2022","North Dakota","38",507,84114,602.8
,"2022 (provisional)","2022","Ohio","39",11683,1528584,764.3
,"2022 (provisional)","2022","Oklahoma","40",4431,469132,944.5
,"2022 (provisional)","2022","Oregon","41",3350,518379,646.2
,"2022 (provisional)","2022","Pennsylvania","42",11143,1729216,644.4
,"2022 (provisional)","2022","Rhode Island","44",863,150079,575.0
,"2022 (provisional)","2022","South Carolina","45",5559,676291,822.0
,"2022 (provisional)","2022","South Dakota","46",691,103803,665.7
,"2022 (provisional)","2022","Tennessee","47",8516,912813,932.9
,"2022 (provisional)","2022","Texas","48",22757,3493712,651.4
,"2022 (provisional)","2022","Utah","49",1596,322471,494.9
,"2022 (provisional)","2022","Vermont","50",541,88111,614.0
,"2022 (provisional)","2022","Virginia","51",7050,1136886,620.1
,"2022 (provisional)","2022","Washington","53",5514,949502,580.7
,"2022 (provisional)","2022","West Virginia","54",2602,237623,1095.0
,"2022 (provisional)","2022","Wisconsin","55",4447,780575,569.7
,"2022 (provisional)","2022","Wyoming","56",448,67380,664.9
"Total","2022 (provisional)","2022",,,278432,42474240,655.5
,"2023 (provisional and partial)","2023","Alabama","01",3927,657553,597.2
,"2023 (provisional and partial)","2023","Alaska","02",380,87678,433.4
,"2023 (provisional and partial)","2023","Arizona","04",4025,865303,465.2
,"2023 (provisional and partial)","2023","Arkansas","05",2383,375111,635.3
,"2023 (provisional and partial)","2023","California","06",17003,4952545,343.3
,"2023 (provisional and partial)","2023","Colorado","08",2592,703629,368.4
,"2023 (provisional and partial)","2023","Connecticut","09",1709,513720,332.7
,"2023 (provisional and partial)","2023","Delaware","10",639,132914,480.8
,"2023 (provisional and partial)","2023","District of Columbia","11",349,68718,507.9
,"2023 (provisional and partial)","2023","Florida","12",12625,2896046,435.9
,"2023 (provisional and partial)","2023","Georgia","13",6647,1412594,470.6
,"2023 (provisional and partial)","2023","Hawaii","15",679,176573,384.5
,"2023 (provisional and partial)","2023","Idaho","16",851,219134,388.3
,"2023 (provisional and partial)","2023","Illinois","17",6689,1638750,408.2
,"2023 (provisional and partial)","2023","Indiana","18",4291,856312,501.1
