"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"2013"	"2013"	"Jul., 2013"	"2013/07"	8908	Not Applicable	Not Applicable
	"2013"	"2013"	"Aug., 2013"	"2013/08"	9013	Not Applicable	Not Applicable
	"2013"	"2013"	"Sep., 2013"	"2013/09"	8519	Not Applicable	Not Applicable
	"2013"	"2013"	"Oct., 2013"	"2013/10"	8846	Not Applicable	Not Applicable
	"2013"	"2013"	"Nov., 2013"	"2013/11"	8878	Not Applicable	Not Applicable
	"2013"	"2013"	"Dec., 2013"	"2013/12"	9513	Not Applicable	Not Applicable
"Total"	"2013"	"2013"			108585	Not Applicable	Not Applicable
	"2014"	"2014"	"Jan., 2014"	"2014/01"	10224	Not Applicable	Not Applicable
	"2014"	"2014"	"Feb., 2014"	"2014/02"	8534	Not Applicable	Not Applicable
	"2014"	"2014"	"Mar., 2014"	"2014/03"	9279	Not Applicable	Not Applicable
	"2014"	"2014"	"Apr., 2014"	"2014/04"	8647	Not Applicable	Not Applicable
	"2014"	"2014"	"May, 2014"	"2014/05"	8799	Not Applicable	Not Applicable
	"2014"	"2014"	"Jun., 2014"	"2014/06"	8529	Not Applicable	Not Applicable
	"2014"	"2014"	"Jul., 2014"	"2014/07"	8884	Not Applicable	Not Applicable
	"2014"	"2014"	"Aug., 2014"	"2014/08"	8746	Not Applicable	Not Applicable
	"2014"	"2014"	"Sep., 2014"	"2014/09"	8492	Not Applicable	Not Applicable
	"2014"	"2014"	"Oct., 2014"	"2014/10"	8811	Not Applicable	Not Applicable
	"2014"	"2014"	"Nov., 2014"	"2014/11"	8687	Not Applicable	Not Applicable
	"2014"	"2014"	"Dec., 2014"	"2014/12"	9055	Not Applicable	Not Applicable
"Total"	"2014"	"2014"			106687	Not Applicable	Not Applicable
	"2015"	"2015"	"Jan., 2015"	"2015/01"	9497	Not Applicable	Not Applicable
	"2015"	"2015"	"Feb., 2015"	"2015/02"	8174	Not Applicable	Not Applicable
	"2015"	"2015"	"Mar., 2015"	"2015/03"	9176	Not Applicable	Not Applicable
