"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Aug., 2019"	"2019/08"	50245	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	49166	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	52936	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	52958	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	56591	Not Applicable	Not Applicable
	"Jan., 2020 "	"2020/01"	59477	Not Applicable	Not Applicable
	"Feb., 2020 "	"2020/02"	55244	Not Applicable	Not Applicable
	"Mar., 2020 "	"2020/03"	60842	Not Applicable	Not Applicable
	"Apr., 2020 "	"2020/04"	72601	Not Applicable	Not Applicable
	"May, 2020 "	"2020/05"	61901	Not Applicable	Not Applicable
	"Jun., 2020 "	"2020/06"	55258	Not Applicable	Not Applicable
	"Jul., 2020 "	"2020/07"	62487	Not Applicable	Not Applicable
	"Aug., 2020 "	"2020/08"	62558	Not Applicable	Not Applicable
	"Sep., 2020 "	"2020/09"	58174	Not Applicable	Not Applicable
	"Oct., 2020 "	"2020/10"	62233	Not Applicable	Not Applicable
	"Nov., 2020 "	"2020/11"	69788	Not Applicable	Not Applicable
	"Dec., 2020 "	"2020/12"	85747	Not Applicable	Not Applicable
"Total"			12260313	Not Applicable	Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"Single-Year Ages: 70 years; 71 years; 72 years; 73 years; 74 years; 75 years; 76 years; 77 years; 78 years; 79 years"
"Group By: Month"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Oct 19, 2023 3:48:11 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Oct 19, 2023 3:48:11 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/mcd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
