"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2020 Week 09 ending February 29, 2020"	"2020/09"	58645	Not Applicable	Not Applicable
	"2020 Week 10 ending March 07, 2020"	"2020/10"	59004	Not Applicable	Not Applicable
	"2020 Week 11 ending March 14, 2020"	"2020/11"	58005	Not Applicable	Not Applicable
	"2020 Week 12 ending March 21, 2020"	"2020/12"	58549	Not Applicable	Not Applicable
	"2020 Week 13 ending March 28, 2020"	"2020/13"	62269	Not Applicable	Not Applicable
	"2020 Week 14 ending April 04, 2020"	"2020/14"	71483	Not Applicable	Not Applicable
	"2020 Week 15 ending April 11, 2020"	"2020/15"	78287	Not Applicable	Not Applicable
	"2020 Week 16 ending April 18, 2020"	"2020/16"	76084	Not Applicable	Not Applicable
	"2020 Week 17 ending April 25, 2020"	"2020/17"	73128	Not Applicable	Not Applicable
	"2020 Week 18 ending May 02, 2020"	"2020/18"	68510	Not Applicable	Not Applicable
	"2020 Week 19 ending May 09, 2020"	"2020/19"	66075	Not Applicable	Not Applicable
	"2020 Week 20 ending May 16, 2020"	"2020/20"	63773	Not Applicable	Not Applicable
	"2020 Week 21 ending May 23, 2020"	"2020/21"	60851	Not Applicable	Not Applicable
	"2020 Week 22 ending May 30, 2020"	"2020/22"	58904	Not Applicable	Not Applicable
	"2020 Week 23 ending June 06, 2020"	"2020/23"	58102	Not Applicable	Not Applicable
	"2020 Week 24 ending June 13, 2020"	"2020/24"	57267	Not Applicable	Not Applicable
	"2020 Week 25 ending June 20, 2020"	"2020/25"	57204	Not Applicable	Not Applicable
	"2020 Week 26 ending June 27, 2020"	"2020/26"	57702	Not Applicable	Not Applicable
	"2020 Week 27 ending July 04, 2020"	"2020/27"	58961	Not Applicable	Not Applicable
	"2020 Week 28 ending July 11, 2020"	"2020/28"	61129	Not Applicable	Not Applicable
	"2020 Week 29 ending July 18, 2020"	"2020/29"	62258	Not Applicable	Not Applicable
	"2020 Week 30 ending July 25, 2020"	"2020/30"	63386	Not Applicable	Not Applicable
	"2020 Week 31 ending August 01, 2020"	"2020/31"	63452	Not Applicable	Not Applicable
	"2020 Week 32 ending August 08, 2020"	"2020/32"	62918	Not Applicable	Not Applicable
	"2020 Week 33 ending August 15, 2020"	"2020/33"	62781	Not Applicable	Not Applicable
	"2020 Week 34 ending August 22, 2020"	"2020/34"	61777	Not Applicable	Not Applicable
	"2020 Week 35 ending August 29, 2020"	"2020/35"	60330	Not Applicable	Not Applicable
	"2020 Week 36 ending September 05, 2020"	"2020/36"	59467	Not Applicable	Not Applicable
