"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2021 Week 03 ending January 23, 2021","2021/03",761,Not Applicable,Not Applicable
,"2021 Week 04 ending January 30, 2021","2021/04",827,Not Applicable,Not Applicable
,"2021 Week 05 ending February 06, 2021","2021/05",771,Not Applicable,Not Applicable
,"2021 Week 06 ending February 13, 2021","2021/06",753,Not Applicable,Not Applicable
,"2021 Week 07 ending February 20, 2021","2021/07",773,Not Applicable,Not Applicable
,"2021 Week 08 ending February 27, 2021","2021/08",810,Not Applicable,Not Applicable
,"2021 Week 09 ending March 06, 2021","2021/09",737,Not Applicable,Not Applicable
,"2021 Week 10 ending March 13, 2021","2021/10",799,Not Applicable,Not Applicable
,"2021 Week 11 ending March 20, 2021","2021/11",767,Not Applicable,Not Applicable
,"2021 Week 12 ending March 27, 2021","2021/12",847,Not Applicable,Not Applicable
,"2021 Week 13 ending April 03, 2021","2021/13",773,Not Applicable,Not Applicable
,"2021 Week 14 ending April 10, 2021","2021/14",862,Not Applicable,Not Applicable
,"2021 Week 15 ending April 17, 2021","2021/15",800,Not Applicable,Not Applicable
,"2021 Week 16 ending April 24, 2021","2021/16",841,Not Applicable,Not Applicable
,"2021 Week 17 ending May 01, 2021","2021/17",827,Not Applicable,Not Applicable
,"2021 Week 18 ending May 08, 2021","2021/18",804,Not Applicable,Not Applicable
,"2021 Week 19 ending May 15, 2021","2021/19",865,Not Applicable,Not Applicable
,"2021 Week 20 ending May 22, 2021","2021/20",876,Not Applicable,Not Applicable
,"2021 Week 21 ending May 29, 2021","2021/21",811,Not Applicable,Not Applicable
,"2021 Week 22 ending June 05, 2021","2021/22",945,Not Applicable,Not Applicable
,"2021 Week 23 ending June 12, 2021","2021/23",857,Not Applicable,Not Applicable
,"2021 Week 24 ending June 19, 2021","2021/24",863,Not Applicable,Not Applicable
,"2021 Week 25 ending June 26, 2021","2021/25",861,Not Applicable,Not Applicable
,"2021 Week 26 ending July 03, 2021","2021/26",834,Not Applicable,Not Applicable
,"2021 Week 27 ending July 10, 2021","2021/27",852,Not Applicable,Not Applicable
,"2021 Week 28 ending July 17, 2021","2021/28",808,Not Applicable,Not Applicable
,"2021 Week 29 ending July 24, 2021","2021/29",869,Not Applicable,Not Applicable
,"2021 Week 30 ending July 31, 2021","2021/30",873,Not Applicable,Not Applicable
,"2021 Week 31 ending August 07, 2021","2021/31",818,Not Applicable,Not Applicable
,"2021 Week 32 ending August 14, 2021","2021/32",818,Not Applicable,Not Applicable
,"2021 Week 33 ending August 21, 2021","2021/33",887,Not Applicable,Not Applicable
,"2021 Week 34 ending August 28, 2021","2021/34",868,Not Applicable,Not Applicable
,"2021 Week 35 ending September 04, 2021","2021/35",799,Not Applicable,Not Applicable
,"2021 Week 36 ending September 11, 2021","2021/36",895,Not Applicable,Not Applicable
,"2021 Week 37 ending September 18, 2021","2021/37",854,Not Applicable,Not Applicable
,"2021 Week 38 ending September 25, 2021","2021/38",882,Not Applicable,Not Applicable
,"2021 Week 39 ending October 02, 2021","2021/39",875,Not Applicable,Not Applicable
,"2021 Week 40 ending October 09, 2021","2021/40",875,Not Applicable,Not Applicable
,"2021 Week 41 ending October 16, 2021","2021/41",778,Not Applicable,Not Applicable
,"2021 Week 42 ending October 23, 2021","2021/42",830,Not Applicable,Not Applicable
,"2021 Week 43 ending October 30, 2021","2021/43",858,Not Applicable,Not Applicable
,"2021 Week 44 ending November 06, 2021","2021/44",812,Not Applicable,Not Applicable
,"2021 Week 45 ending November 13, 2021","2021/45",809,Not Applicable,Not Applicable
,"2021 Week 46 ending November 20, 2021","2021/46",801,Not Applicable,Not Applicable
,"2021 Week 47 ending November 27, 2021","2021/47",874,Not Applicable,Not Applicable
,"2021 Week 48 ending December 04, 2021","2021/48",811,Not Applicable,Not Applicable
,"2021 Week 49 ending December 11, 2021","2021/49",863,Not Applicable,Not Applicable
,"2021 Week 50 ending December 18, 2021","2021/50",821,Not Applicable,Not Applicable
,"2021 Week 51 ending December 25, 2021","2021/51",805,Not Applicable,Not Applicable
,"2021 Week 52 ending January 01, 2022","2021/52",841,Not Applicable,Not Applicable
,"2021 Week Not Available","2021/99",Suppressed,Not Applicable,Not Applicable
,"2022 Week 01 ending January 08, 2022 (provisional)","2022/01",797,Not Applicable,Not Applicable
,"2022 Week 02 ending January 15, 2022 (provisional)","2022/02",800,Not Applicable,Not Applicable
,"2022 Week 03 ending January 22, 2022 (provisional)","2022/03",774,Not Applicable,Not Applicable
,"2022 Week 04 ending January 29, 2022 (provisional)","2022/04",754,Not Applicable,Not Applicable
,"2022 Week 05 ending February 05, 2022 (provisional)","2022/05",751,Not Applicable,Not Applicable
,"2022 Week 06 ending February 12, 2022 (provisional)","2022/06",782,Not Applicable,Not Applicable
,"2022 Week 07 ending February 19, 2022 (provisional)","2022/07",801,Not Applicable,Not Applicable
,"2022 Week 08 ending February 26, 2022 (provisional)","2022/08",875,Not Applicable,Not Applicable
,"2022 Week 09 ending March 05, 2022 (provisional)","2022/09",780,Not Applicable,Not Applicable
,"2022 Week 10 ending March 12, 2022 (provisional)","2022/10",769,Not Applicable,Not Applicable
,"2022 Week 11 ending March 19, 2022 (provisional)","2022/11",841,Not Applicable,Not Applicable
,"2022 Week 12 ending March 26, 2022 (provisional)","2022/12",814,Not Applicable,Not Applicable
,"2022 Week 13 ending April 02, 2022 (provisional)","2022/13",761,Not Applicable,Not Applicable
,"2022 Week 14 ending April 09, 2022 (provisional)","2022/14",736,Not Applicable,Not Applicable
,"2022 Week 15 ending April 16, 2022 (provisional)","2022/15",800,Not Applicable,Not Applicable
,"2022 Week 16 ending April 23, 2022 (provisional)","2022/16",840,Not Applicable,Not Applicable
,"2022 Week 17 ending April 30, 2022 (provisional)","2022/17",813,Not Applicable,Not Applicable
,"2022 Week 18 ending May 07, 2022 (provisional)","2022/18",838,Not Applicable,Not Applicable
,"2022 Week 19 ending May 14, 2022 (provisional)","2022/19",833,Not Applicable,Not Applicable
,"2022 Week 20 ending May 21, 2022 (provisional)","2022/20",850,Not Applicable,Not Applicable
,"2022 Week 21 ending May 28, 2022 (provisional)","2022/21",847,Not Applicable,Not Applicable
,"2022 Week 22 ending June 04, 2022 (provisional)","2022/22",889,Not Applicable,Not Applicable
,"2022 Week 23 ending June 11, 2022 (provisional)","2022/23",861,Not Applicable,Not Applicable
,"2022 Week 24 ending June 18, 2022 (provisional)","2022/24",860,Not Applicable,Not Applicable
,"2022 Week 25 ending June 25, 2022 (provisional)","2022/25",894,Not Applicable,Not Applicable
,"2022 Week 26 ending July 02, 2022 (provisional)","2022/26",871,Not Applicable,Not Applicable
,"2022 Week 27 ending July 09, 2022 (provisional)","2022/27",896,Not Applicable,Not Applicable
,"2022 Week 28 ending July 16, 2022 (provisional)","2022/28",870,Not Applicable,Not Applicable
,"2022 Week 29 ending July 23, 2022 (provisional)","2022/29",876,Not Applicable,Not Applicable
,"2022 Week 30 ending July 30, 2022 (provisional)","2022/30",866,Not Applicable,Not Applicable
,"2022 Week 31 ending August 06, 2022 (provisional)","2022/31",937,Not Applicable,Not Applicable
,"2022 Week 32 ending August 13, 2022 (provisional)","2022/32",882,Not Applicable,Not Applicable
,"2022 Week 33 ending August 20, 2022 (provisional)","2022/33",827,Not Applicable,Not Applicable
,"2022 Week 34 ending August 27, 2022 (provisional)","2022/34",844,Not Applicable,Not Applicable
,"2022 Week 35 ending September 03, 2022 (provisional)","2022/35",823,Not Applicable,Not Applicable
,"2022 Week 36 ending September 10, 2022 (provisional)","2022/36",813,Not Applicable,Not Applicable
,"2022 Week 37 ending September 17, 2022 (provisional)","2022/37",868,Not Applicable,Not Applicable
,"2022 Week 38 ending September 24, 2022 (provisional)","2022/38",827,Not Applicable,Not Applicable
,"2022 Week 39 ending October 01, 2022 (provisional)","2022/39",828,Not Applicable,Not Applicable
,"2022 Week 40 ending October 08, 2022 (provisional)","2022/40",794,Not Applicable,Not Applicable
,"2022 Week 41 ending October 15, 2022 (provisional)","2022/41",887,Not Applicable,Not Applicable
,"2022 Week 42 ending October 22, 2022 (provisional)","2022/42",875,Not Applicable,Not Applicable
,"2022 Week 43 ending October 29, 2022 (provisional)","2022/43",867,Not Applicable,Not Applicable
,"2022 Week 44 ending November 05, 2022 (provisional)","2022/44",894,Not Applicable,Not Applicable
,"2022 Week 45 ending November 12, 2022 (provisional)","2022/45",881,Not Applicable,Not Applicable
,"2022 Week 46 ending November 19, 2022 (provisional)","2022/46",849,Not Applicable,Not Applicable
,"2022 Week 47 ending November 26, 2022 (provisional)","2022/47",861,Not Applicable,Not Applicable
,"2022 Week 48 ending December 03, 2022 (provisional)","2022/48",864,Not Applicable,Not Applicable
,"2022 Week 49 ending December 10, 2022 (provisional)","2022/49",790,Not Applicable,Not Applicable
,"2022 Week 50 ending December 17, 2022 (provisional)","2022/50",868,Not Applicable,Not Applicable
,"2022 Week 51 ending December 24, 2022 (provisional)","2022/51",862,Not Applicable,Not Applicable
,"2022 Week 52 ending December 31, 2022 (provisional)","2022/52",837,Not Applicable,Not Applicable
,"2022 Week Not Available (provisional)","2022/99",0,Not Applicable,Not Applicable
,"2023 Week 01 ending January 07, 2023 (provisional)","2023/01",827,Not Applicable,Not Applicable
,"2023 Week 02 ending January 14, 2023 (provisional)","2023/02",837,Not Applicable,Not Applicable
,"2023 Week 03 ending January 21, 2023 (provisional)","2023/03",864,Not Applicable,Not Applicable
,"2023 Week 04 ending January 28, 2023 (provisional)","2023/04",764,Not Applicable,Not Applicable
,"2023 Week 05 ending February 04, 2023 (provisional)","2023/05",805,Not Applicable,Not Applicable
,"2023 Week 06 ending February 11, 2023 (provisional)","2023/06",805,Not Applicable,Not Applicable
,"2023 Week 07 ending February 18, 2023 (provisional)","2023/07",805,Not Applicable,Not Applicable
,"2023 Week 08 ending February 25, 2023 (provisional)","2023/08",803,Not Applicable,Not Applicable
,"2023 Week 09 ending March 04, 2023 (provisional)","2023/09",798,Not Applicable,Not Applicable
