"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2001"	"2001"	"Wisconsin"	"55"	5264	1476701	356.5
	"2001"	"2001"	"Wyoming"	"56"	574	144984	395.9
"Total"	"2001"	"2001"			332367	76171077	436.3
	"2002"	"2002"	"Alabama"	"01"	7080	1223572	578.6
	"2002"	"2002"	"Alaska"	"02"	818	192043	425.9
	"2002"	"2002"	"Arizona"	"04"	6183	1353054	457.0
	"2002"	"2002"	"Arkansas"	"05"	4081	717293	568.9
	"2002"	"2002"	"California"	"06"	34392	9054516	379.8
	"2002"	"2002"	"Colorado"	"08"	4536	1269180	357.4
	"2002"	"2002"	"Connecticut"	"09"	3666	1001899	365.9
	"2002"	"2002"	"Delaware"	"10"	1007	220685	456.3
	"2002"	"2002"	"District of Columbia"	"11"	1285	148515	865.2
	"2002"	"2002"	"Florida"	"12"	21665	4481301	483.5
	"2002"	"2002"	"Georgia"	"13"	11793	2270997	519.3
	"2002"	"2002"	"Hawaii"	"15"	1256	345702	363.3
	"2002"	"2002"	"Idaho"	"16"	1295	350707	369.3
	"2002"	"2002"	"Illinois"	"17"	14553	3344371	435.1
	"2002"	"2002"	"Indiana"	"18"	7585	1670883	454.0
	"2002"	"2002"	"Iowa"	"19"	2746	793215	346.2
	"2002"	"2002"	"Kansas"	"20"	3031	725175	418.0
	"2002"	"2002"	"Kentucky"	"21"	6047	1133755	533.4
	"2002"	"2002"	"Louisiana"	"22"	6984	1199174	582.4
	"2002"	"2002"	"Maine"	"23"	1446	392986	368.0
	"2002"	"2002"	"Maryland"	"24"	7068	1568139	450.7
	"2002"	"2002"	"Massachusetts"	"25"	6788	1795930	378.0
	"2002"	"2002"	"Michigan"	"26"	12765	2783173	458.6
	"2002"	"2002"	"Minnesota"	"27"	4375	1390465	314.6
	"2002"	"2002"	"Mississippi"	"28"	4670	742908	628.6
	"2002"	"2002"	"Missouri"	"29"	7318	1545951	473.4
	"2002"	"2002"	"Montana"	"30"	1111	269955	411.6
	"2002"	"2002"	"Nebraska"	"31"	1700	460117	369.5
	"2002"	"2002"	"Nevada"	"32"	3029	592857	510.9
	"2002"	"2002"	"New Hampshire"	"33"	1301	384941	338.0
	"2002"	"2002"	"New Jersey"	"34"	9734	2416042	402.9
	"2002"	"2002"	"New Mexico"	"35"	2330	502641	463.6
	"2002"	"2002"	"New York"	"36"	21350	5219348	409.1
	"2002"	"2002"	"North Carolina"	"37"	10874	2267597	479.5
	"2002"	"2002"	"North Dakota"	"38"	581	172335	337.1
	"2002"	"2002"	"Ohio"	"39"	14296	3170465	450.9
	"2002"	"2002"	"Oklahoma"	"40"	5198	931712	557.9
	"2002"	"2002"	"Oregon"	"41"	4071	1001981	406.3
	"2002"	"2002"	"Pennsylvania"	"42"	15209	3471063	438.2
	"2002"	"2002"	"Rhode Island"	"44"	1179	294361	400.5
	"2002"	"2002"	"South Carolina"	"45"	6413	1129181	567.9
	"2002"	"2002"	"South Dakota"	"46"	745	201395	369.9
	"2002"	"2002"	"Tennessee"	"47"	8856	1607782	550.8
	"2002"	"2002"	"Texas"	"48"	25101	5537816	453.3
	"2002"	"2002"	"Utah"	"49"	1696	502474	337.5
	"2002"	"2002"	"Vermont"	"50"	609	188202	323.6
	"2002"	"2002"	"Virginia"	"51"	8488	2073899	409.3
	"2002"	"2002"	"Washington"	"53"	6367	1724662	369.2
	"2002"	"2002"	"West Virginia"	"54"	2860	526248	543.5
	"2002"	"2002"	"Wisconsin"	"55"	5507	1513901	363.8
	"2002"	"2002"	"Wyoming"	"56"	581	148128	392.2
"Total"	"2002"	"2002"			343619	78024692	440.4
	"2003"	"2003"	"Alabama"	"01"	7432	1241099	598.8
	"2003"	"2003"	"Alaska"	"02"	769	195974	392.4
	"2003"	"2003"	"Arizona"	"04"	6427	1393871	461.1
	"2003"	"2003"	"Arkansas"	"05"	4136	728191	568.0
	"2003"	"2003"	"California"	"06"	36189	9274013	390.2
	"2003"	"2003"	"Colorado"	"08"	4677	1295134	361.1
	"2003"	"2003"	"Connecticut"	"09"	3667	1016750	360.7
	"2003"	"2003"	"Delaware"	"10"	1109	226487	489.7
	"2003"	"2003"	"District of Columbia"	"11"	1287	148244	868.2
	"2003"	"2003"	"Florida"	"12"	22798	4618650	493.6
	"2003"	"2003"	"Georgia"	"13"	12048	2328214	517.5
	"2003"	"2003"	"Hawaii"	"15"	1299	353171	367.8
	"2003"	"2003"	"Idaho"	"16"	1408	358777	392.4
	"2003"	"2003"	"Illinois"	"17"	14306	3388114	422.2
	"2003"	"2003"	"Indiana"	"18"	7744	1695268	456.8
	"2003"	"2003"	"Iowa"	"19"	3041	803434	378.5
	"2003"	"2003"	"Kansas"	"20"	3014	736909	409.0
	"2003"	"2003"	"Kentucky"	"21"	6116	1153394	530.3
	"2003"	"2003"	"Louisiana"	"22"	7284	1220322	596.9
	"2003"	"2003"	"Maine"	"23"	1507	400641	376.1
	"2003"	"2003"	"Maryland"	"24"	7225	1597634	452.2
	"2003"	"2003"	"Massachusetts"	"25"	6802	1819430	373.9
	"2003"	"2003"	"Michigan"	"26"	12717	2815295	451.7
	"2003"	"2003"	"Minnesota"	"27"	4279	1418511	301.7
	"2003"	"2003"	"Mississippi"	"28"	4780	755239	632.9
	"2003"	"2003"	"Missouri"	"29"	7560	1573363	480.5
	"2003"	"2003"	"Montana"	"30"	1143	273928	417.3
	"2003"	"2003"	"Nebraska"	"31"	1634	468496	348.8
	"2003"	"2003"	"Nevada"	"32"	3178	616163	515.8
	"2003"	"2003"	"New Hampshire"	"33"	1290	393354	327.9
	"2003"	"2003"	"New Jersey"	"34"	9570	2452821	390.2
