"Notes","MMWR Week","MMWR Week Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2018 Week 03 ending January 20, 2018","2018/03","Wisconsin","55",1258,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03","Wyoming","56",117,Not Applicable,Not Applicable
"Total","2018 Week 03 ending January 20, 2018","2018/03",,,64118,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Alabama","01",1314,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Alaska","02",83,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Arizona","04",1320,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Arkansas","05",739,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","California","06",5775,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Colorado","08",834,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Connecticut","09",662,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Delaware","10",205,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","District of Columbia","11",111,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Florida","12",4488,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Georgia","13",1944,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Hawaii","15",214,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Idaho","16",290,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Illinois","17",2481,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Indiana","18",1482,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Iowa","19",639,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Kansas","20",638,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Kentucky","21",1106,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Louisiana","22",1012,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Maine","23",300,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Maryland","24",1090,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Massachusetts","25",1228,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Michigan","26",2120,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Minnesota","27",931,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Mississippi","28",737,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Missouri","29",1426,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Montana","30",211,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Nebraska","31",360,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Nevada","32",514,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","New Hampshire","33",264,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","New Jersey","34",1658,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","New Mexico","35",404,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","New York","36",3448,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","North Carolina","37",2058,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","North Dakota","38",131,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Ohio","39",2770,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Oklahoma","40",917,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Oregon","41",734,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Pennsylvania","42",2957,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Rhode Island","44",213,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","South Carolina","45",1141,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","South Dakota","46",190,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Tennessee","47",1591,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Texas","48",4586,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Utah","49",396,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Vermont","50",130,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Virginia","51",1449,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","Washington","53",1201,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04","West Virginia","54",487,Not Applicable,Not Applicable
