"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"May, 2015"	"2015/05"	198057	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	187579	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	192800	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	190629	Not Applicable	Not Applicable
	"Sep., 2015"	"2015/09"	186573	Not Applicable	Not Applicable
	"Oct., 2015"	"2015/10"	198336	Not Applicable	Not Applicable
	"Nov., 2015"	"2015/11"	194760	Not Applicable	Not Applicable
	"Dec., 2015"	"2015/12"	206871	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	216628	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	203801	Not Applicable	Not Applicable
	"Mar., 2016"	"2016/03"	216459	Not Applicable	Not Applicable
	"Apr., 2016"	"2016/04"	201413	Not Applicable	Not Applicable
	"May, 2016"	"2016/05"	199030	Not Applicable	Not Applicable
	"Jun., 2016"	"2016/06"	189545	Not Applicable	Not Applicable
	"Jul., 2016"	"2016/07"	195757	Not Applicable	Not Applicable
	"Aug., 2016"	"2016/08"	195902	Not Applicable	Not Applicable
	"Sep., 2016"	"2016/09"	190302	Not Applicable	Not Applicable
	"Oct., 2016"	"2016/10"	202969	Not Applicable	Not Applicable
	"Nov., 2016"	"2016/11"	201152	Not Applicable	Not Applicable
	"Dec., 2016"	"2016/12"	220382	Not Applicable	Not Applicable
	"Jan., 2017"	"2017/01"	231456	Not Applicable	Not Applicable
	"Feb., 2017"	"2017/02"	205878	Not Applicable	Not Applicable
	"Mar., 2017"	"2017/03"	222138	Not Applicable	Not Applicable
	"Apr., 2017"	"2017/04"	205458	Not Applicable	Not Applicable
	"May, 2017"	"2017/05"	204235	Not Applicable	Not Applicable
	"Jun., 2017"	"2017/06"	195073	Not Applicable	Not Applicable
	"Jul., 2017"	"2017/07"	197744	Not Applicable	Not Applicable
	"Aug., 2017"	"2017/08"	197515	Not Applicable	Not Applicable
	"Sep., 2017"	"2017/09"	195749	Not Applicable	Not Applicable
	"Oct., 2017"	"2017/10"	205143	Not Applicable	Not Applicable
	"Nov., 2017"	"2017/11"	204888	Not Applicable	Not Applicable
	"Dec., 2017"	"2017/12"	228654	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	251768	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	209379	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	219837	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	206465	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	203502	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	196204	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	200948	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	200038	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	195018	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	207802	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	207203	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	220828	Not Applicable	Not Applicable
	"Jan., 2019"	"2019/01"	228007	Not Applicable	Not Applicable
	"Feb., 2019"	"2019/02"	206326	Not Applicable	Not Applicable
	"Mar., 2019"	"2019/03"	225763	Not Applicable	Not Applicable
	"Apr., 2019"	"2019/04"	208935	Not Applicable	Not Applicable
	"May, 2019"	"2019/05"	210830	Not Applicable	Not Applicable
	"Jun., 2019"	"2019/06"	200912	Not Applicable	Not Applicable
	"Jul., 2019"	"2019/07"	204513	Not Applicable	Not Applicable
	"Aug., 2019"	"2019/08"	202679	Not Applicable	Not Applicable
	"Sep., 2019"	"2019/09"	198385	Not Applicable	Not Applicable
	"Oct., 2019"	"2019/10"	211449	Not Applicable	Not Applicable
	"Nov., 2019"	"2019/11"	212297	Not Applicable	Not Applicable
	"Dec., 2019"	"2019/12"	227112	Not Applicable	Not Applicable
	"Jan., 2020 "	"2020/01"	234495	Not Applicable	Not Applicable
	"Feb., 2020 "	"2020/02"	217288	Not Applicable	Not Applicable
	"Mar., 2020 "	"2020/03"	239789	Not Applicable	Not Applicable
	"Apr., 2020 "	"2020/04"	285470	Not Applicable	Not Applicable
	"May, 2020 "	"2020/05"	249511	Not Applicable	Not Applicable
	"Jun., 2020 "	"2020/06"	224085	Not Applicable	Not Applicable
	"Jul., 2020 "	"2020/07"	250405	Not Applicable	Not Applicable
