"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Utah"	"49"	"Jan., 2000"	"2000/01"	32	Not Applicable	Not Applicable
	"Utah"	"49"	"Feb., 2000"	"2000/02"	28	Not Applicable	Not Applicable
	"Utah"	"49"	"Mar., 2000"	"2000/03"	38	Not Applicable	Not Applicable
	"Utah"	"49"	"Apr., 2000"	"2000/04"	32	Not Applicable	Not Applicable
	"Utah"	"49"	"May, 2000"	"2000/05"	38	Not Applicable	Not Applicable
	"Utah"	"49"	"Jun., 2000"	"2000/06"	31	Not Applicable	Not Applicable
	"Utah"	"49"	"Jul., 2000"	"2000/07"	44	Not Applicable	Not Applicable
	"Utah"	"49"	"Aug., 2000"	"2000/08"	42	Not Applicable	Not Applicable
	"Utah"	"49"	"Sep., 2000"	"2000/09"	30	Not Applicable	Not Applicable
	"Utah"	"49"	"Oct., 2000"	"2000/10"	24	Not Applicable	Not Applicable
	"Utah"	"49"	"Nov., 2000"	"2000/11"	38	Not Applicable	Not Applicable
	"Utah"	"49"	"Dec., 2000"	"2000/12"	20	Not Applicable	Not Applicable
	"Utah"	"49"	"Jan., 2001"	"2001/01"	38	Not Applicable	Not Applicable
	"Utah"	"49"	"Feb., 2001"	"2001/02"	24	Not Applicable	Not Applicable
	"Utah"	"49"	"Mar., 2001"	"2001/03"	42	Not Applicable	Not Applicable
	"Utah"	"49"	"Apr., 2001"	"2001/04"	32	Not Applicable	Not Applicable
	"Utah"	"49"	"May, 2001"	"2001/05"	28	Not Applicable	Not Applicable
	"Utah"	"49"	"Jun., 2001"	"2001/06"	29	Not Applicable	Not Applicable
	"Utah"	"49"	"Jul., 2001"	"2001/07"	36	Not Applicable	Not Applicable
	"Utah"	"49"	"Aug., 2001"	"2001/08"	35	Not Applicable	Not Applicable
	"Utah"	"49"	"Sep., 2001"	"2001/09"	30	Not Applicable	Not Applicable
	"Utah"	"49"	"Oct., 2001"	"2001/10"	28	Not Applicable	Not Applicable
	"Utah"	"49"	"Nov., 2001"	"2001/11"	38	Not Applicable	Not Applicable
	"Utah"	"49"	"Dec., 2001"	"2001/12"	41	Not Applicable	Not Applicable
	"Utah"	"49"	"Jan., 2002"	"2002/01"	34	Not Applicable	Not Applicable
	"Utah"	"49"	"Feb., 2002"	"2002/02"	25	Not Applicable	Not Applicable
	"Utah"	"49"	"Mar., 2002"	"2002/03"	27	Not Applicable	Not Applicable
	"Utah"	"49"	"Apr., 2002"	"2002/04"	23	Not Applicable	Not Applicable
	"Utah"	"49"	"May, 2002"	"2002/05"	32	Not Applicable	Not Applicable
	"Utah"	"49"	"Jun., 2002"	"2002/06"	29	Not Applicable	Not Applicable
	"Utah"	"49"	"Jul., 2002"	"2002/07"	47	Not Applicable	Not Applicable
	"Utah"	"49"	"Aug., 2002"	"2002/08"	40	Not Applicable	Not Applicable
	"Utah"	"49"	"Sep., 2002"	"2002/09"	32	Not Applicable	Not Applicable
	"Utah"	"49"	"Oct., 2002"	"2002/10"	33	Not Applicable	Not Applicable
	"Utah"	"49"	"Nov., 2002"	"2002/11"	35	Not Applicable	Not Applicable
	"Utah"	"49"	"Dec., 2002"	"2002/12"	30	Not Applicable	Not Applicable
	"Utah"	"49"	"Jan., 2003"	"2003/01"	35	Not Applicable	Not Applicable
	"Utah"	"49"	"Feb., 2003"	"2003/02"	36	Not Applicable	Not Applicable
	"Utah"	"49"	"Mar., 2003"	"2003/03"	30	Not Applicable	Not Applicable
	"Utah"	"49"	"Apr., 2003"	"2003/04"	30	Not Applicable	Not Applicable
	"Utah"	"49"	"May, 2003"	"2003/05"	33	Not Applicable	Not Applicable
	"Utah"	"49"	"Jun., 2003"	"2003/06"	27	Not Applicable	Not Applicable
	"Utah"	"49"	"Jul., 2003"	"2003/07"	36	Not Applicable	Not Applicable
	"Utah"	"49"	"Aug., 2003"	"2003/08"	42	Not Applicable	Not Applicable
