"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2021 Week 18 ending May 08, 2021","2021/18",58663,Not Applicable,Not Applicable
,"2021 Week 19 ending May 15, 2021","2021/19",58065,Not Applicable,Not Applicable
,"2021 Week 20 ending May 22, 2021","2021/20",58347,Not Applicable,Not Applicable
,"2021 Week 21 ending May 29, 2021","2021/21",56961,Not Applicable,Not Applicable
,"2021 Week 22 ending June 05, 2021","2021/22",57043,Not Applicable,Not Applicable
,"2021 Week 23 ending June 12, 2021","2021/23",56708,Not Applicable,Not Applicable
,"2021 Week 24 ending June 19, 2021","2021/24",56805,Not Applicable,Not Applicable
,"2021 Week 25 ending June 26, 2021","2021/25",56490,Not Applicable,Not Applicable
,"2021 Week 26 ending July 03, 2021","2021/26",57141,Not Applicable,Not Applicable
,"2021 Week 27 ending July 10, 2021","2021/27",56765,Not Applicable,Not Applicable
,"2021 Week 28 ending July 17, 2021","2021/28",56803,Not Applicable,Not Applicable
,"2021 Week 29 ending July 24, 2021","2021/29",58046,Not Applicable,Not Applicable
,"2021 Week 30 ending July 31, 2021","2021/30",59912,Not Applicable,Not Applicable
,"2021 Week 31 ending August 07, 2021","2021/31",63356,Not Applicable,Not Applicable
,"2021 Week 32 ending August 14, 2021","2021/32",66640,Not Applicable,Not Applicable
,"2021 Week 33 ending August 21, 2021","2021/33",69526,Not Applicable,Not Applicable
,"2021 Week 34 ending August 28, 2021","2021/34",71695,Not Applicable,Not Applicable
,"2021 Week 35 ending September 04, 2021","2021/35",73102,Not Applicable,Not Applicable
,"2021 Week 36 ending September 11, 2021","2021/36",73275,Not Applicable,Not Applicable
,"2021 Week 37 ending September 18, 2021","2021/37",72892,Not Applicable,Not Applicable
,"2021 Week 38 ending September 25, 2021","2021/38",71753,Not Applicable,Not Applicable
,"2021 Week 39 ending October 02, 2021","2021/39",70926,Not Applicable,Not Applicable
,"2021 Week 40 ending October 09, 2021","2021/40",68688,Not Applicable,Not Applicable
,"2021 Week 41 ending October 16, 2021","2021/41",67177,Not Applicable,Not Applicable
,"2021 Week 42 ending October 23, 2021","2021/42",66657,Not Applicable,Not Applicable
,"2021 Week 43 ending October 30, 2021","2021/43",66022,Not Applicable,Not Applicable
