"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2020"	"2020"	"99 years"	"99"	37	Not Applicable	Not Applicable
	"2020"	"2020"	"100+ years"	"100"	88	Not Applicable	Not Applicable
	"2020"	"2020"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2021"	"2021"	"< 1 year"	"0"	57	8771	649.9
	"2021"	"2021"	"2 years"	"2"	0	7863	Unreliable
	"2021"	"2021"	"8 years"	"8"	0	7387	Unreliable
	"2021"	"2021"	"20 years"	"20"	10	10000	Unreliable
	"2021"	"2021"	"22 years"	"22"	10	7439	Unreliable
	"2021"	"2021"	"23 years"	"23"	13	8880	Unreliable
	"2021"	"2021"	"24 years"	"24"	14	10941	Unreliable
	"2021"	"2021"	"25 years"	"25"	21	12421	169.1
	"2021"	"2021"	"26 years"	"26"	15	13471	Unreliable
	"2021"	"2021"	"27 years"	"27"	27	14232	189.7
	"2021"	"2021"	"28 years"	"28"	25	14610	171.1
	"2021"	"2021"	"29 years"	"29"	23	15266	150.7
	"2021"	"2021"	"30 years"	"30"	22	15734	139.8
	"2021"	"2021"	"31 years"	"31"	28	15786	177.4
	"2021"	"2021"	"32 years"	"32"	22	15263	144.1
	"2021"	"2021"	"33 years"	"33"	16	14814	Unreliable
	"2021"	"2021"	"34 years"	"34"	20	14129	141.6
	"2021"	"2021"	"35 years"	"35"	27	13730	196.6
	"2021"	"2021"	"36 years"	"36"	28	13186	212.3
	"2021"	"2021"	"37 years"	"37"	24	12426	193.1
	"2021"	"2021"	"38 years"	"38"	24	12033	199.5
	"2021"	"2021"	"39 years"	"39"	21	11505	182.5
	"2021"	"2021"	"40 years"	"40"	21	10715	196.0
	"2021"	"2021"	"41 years"	"41"	29	10188	284.6
	"2021"	"2021"	"42 years"	"42"	26	9477	274.3
	"2021"	"2021"	"43 years"	"43"	29	8752	331.4
	"2021"	"2021"	"44 years"	"44"	38	8229	461.8
	"2021"	"2021"	"45 years"	"45"	23	7513	306.1
	"2021"	"2021"	"46 years"	"46"	38	7350	517.0
	"2021"	"2021"	"47 years"	"47"	45	7080	635.6
	"2021"	"2021"	"48 years"	"48"	31	7063	438.9
	"2021"	"2021"	"49 years"	"49"	35	7267	481.6
	"2021"	"2021"	"50 years"	"50"	36	7546	477.1
	"2021"	"2021"	"51 years"	"51"	45	7192	625.7
	"2021"	"2021"	"52 years"	"52"	55	6855	802.3
	"2021"	"2021"	"53 years"	"53"	59	6543	901.7
	"2021"	"2021"	"54 years"	"54"	59	6480	910.5
	"2021"	"2021"	"55 years"	"55"	82	6581	1246.0
	"2021"	"2021"	"56 years"	"56"	75	6839	1096.7
	"2021"	"2021"	"57 years"	"57"	87	6937	1254.1
	"2021"	"2021"	"58 years"	"58"	104	6883	1511.0
	"2021"	"2021"	"59 years"	"59"	93	6862	1355.3
	"2021"	"2021"	"60 years"	"60"	121	6656	1817.9
	"2021"	"2021"	"61 years"	"61"	124	6657	1862.7
	"2021"	"2021"	"62 years"	"62"	140	6340	2208.2
	"2021"	"2021"	"63 years"	"63"	111	6230	1781.7
	"2021"	"2021"	"64 years"	"64"	127	6031	2105.8
	"2021"	"2021"	"65 years"	"65"	132	5918	2230.5
	"2021"	"2021"	"66 years"	"66"	136	5818	2337.6
	"2021"	"2021"	"67 years"	"67"	124	5660	2190.8
	"2021"	"2021"	"68 years"	"68"	136	5354	2540.2
	"2021"	"2021"	"69 years"	"69"	136	5123	2654.7
	"2021"	"2021"	"70 years"	"70"	131	4890	2678.9
	"2021"	"2021"	"71 years"	"71"	137	4762	2876.9
	"2021"	"2021"	"72 years"	"72"	115	4525	2541.4
	"2021"	"2021"	"73 years"	"73"	132	4335	3045.0
	"2021"	"2021"	"74 years"	"74"	137	4332	3162.5
	"2021"	"2021"	"75 years"	"75"	111	3212	3455.8
	"2021"	"2021"	"76 years"	"76"	104	3105	3349.4
	"2021"	"2021"	"77 years"	"77"	120	2987	4017.4
	"2021"	"2021"	"78 years"	"78"	112	2899	3863.4
	"2021"	"2021"	"79 years"	"79"	109	2580	4224.8
	"2021"	"2021"	"80 years"	"80"	126	2281	5523.9
	"2021"	"2021"	"81 years"	"81"	108	2093	5160.1
	"2021"	"2021"	"82 years"	"82"	128	1940	6597.9
	"2021"	"2021"	"83 years"	"83"	103	1803	5712.7
	"2021"	"2021"	"84 years"	"84"	85	1618	5253.4
	"2021"	"2021"	"85 years"	"85"	98	Not Applicable	Not Applicable
	"2021"	"2021"	"86 years"	"86"	103	Not Applicable	Not Applicable
	"2021"	"2021"	"87 years"	"87"	97	Not Applicable	Not Applicable
	"2021"	"2021"	"88 years"	"88"	106	Not Applicable	Not Applicable
	"2021"	"2021"	"89 years"	"89"	94	Not Applicable	Not Applicable
	"2021"	"2021"	"90 years"	"90"	96	Not Applicable	Not Applicable
	"2021"	"2021"	"91 years"	"91"	94	Not Applicable	Not Applicable
	"2021"	"2021"	"92 years"	"92"	103	Not Applicable	Not Applicable
	"2021"	"2021"	"93 years"	"93"	84	Not Applicable	Not Applicable
	"2021"	"2021"	"94 years"	"94"	70	Not Applicable	Not Applicable
	"2021"	"2021"	"95 years"	"95"	62	Not Applicable	Not Applicable
	"2021"	"2021"	"96 years"	"96"	68	Not Applicable	Not Applicable
	"2021"	"2021"	"97 years"	"97"	42	Not Applicable	Not Applicable
	"2021"	"2021"	"98 years"	"98"	39	Not Applicable	Not Applicable
	"2021"	"2021"	"99 years"	"99"	33	Not Applicable	Not Applicable
	"2021"	"2021"	"100+ years"	"100"	89	Not Applicable	Not Applicable
	"2021"	"2021"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2022"	"2022"	"< 1 year"	"0"	39	8261	472.1
	"2022"	"2022"	"6 years"	"6"	0	7573	Unreliable
	"2022"	"2022"	"11 years"	"11"	0	6717	Unreliable
	"2022"	"2022"	"20 years"	"20"	14	9920	Unreliable
	"2022"	"2022"	"24 years"	"24"	15	11849	Unreliable
	"2022"	"2022"	"25 years"	"25"	10	13092	Unreliable
	"2022"	"2022"	"26 years"	"26"	16	13697	Unreliable
	"2022"	"2022"	"27 years"	"27"	13	14308	Unreliable
	"2022"	"2022"	"28 years"	"28"	15	14767	Unreliable
	"2022"	"2022"	"29 years"	"29"	19	14844	Unreliable
	"2022"	"2022"	"30 years"	"30"	14	15248	Unreliable
	"2022"	"2022"	"31 years"	"31"	23	15331	150.0
	"2022"	"2022"	"32 years"	"32"	28	15369	182.2
	"2022"	"2022"	"33 years"	"33"	23	14743	156.0
	"2022"	"2022"	"34 years"	"34"	16	14168	Unreliable
	"2022"	"2022"	"35 years"	"35"	22	13436	163.7
	"2022"	"2022"	"36 years"	"36"	18	13008	Unreliable
	"2022"	"2022"	"37 years"	"37"	22	12605	174.5
	"2022"	"2022"	"38 years"	"38"	24	11838	202.7
	"2022"	"2022"	"39 years"	"39"	28	11457	244.4
	"2022"	"2022"	"40 years"	"40"	27	10965	246.2
	"2022"	"2022"	"41 years"	"41"	30	10258	292.5
	"2022"	"2022"	"42 years"	"42"	24	9721	246.9
	"2022"	"2022"	"43 years"	"43"	33	9159	360.3
	"2022"	"2022"	"44 years"	"44"	29	8502	341.1
	"2022"	"2022"	"45 years"	"45"	22	8034	273.8
	"2022"	"2022"	"46 years"	"46"	35	7320	478.1
	"2022"	"2022"	"47 years"	"47"	31	7329	423.0
	"2022"	"2022"	"48 years"	"48"	34	6911	492.0
	"2022"	"2022"	"49 years"	"49"	26	6910	376.3
	"2022"	"2022"	"50 years"	"50"	38	7168	530.1
	"2022"	"2022"	"51 years"	"51"	33	7400	445.9
	"2022"	"2022"	"52 years"	"52"	46	7210	638.0
	"2022"	"2022"	"53 years"	"53"	41	6672	614.5
	"2022"	"2022"	"54 years"	"54"	53	6526	812.1
	"2022"	"2022"	"55 years"	"55"	55	6368	863.7
	"2022"	"2022"	"56 years"	"56"	79	6345	1245.1
	"2022"	"2022"	"57 years"	"57"	77	6703	1148.7
	"2022"	"2022"	"58 years"	"58"	79	6755	1169.5
	"2022"	"2022"	"59 years"	"59"	95	6705	1416.9
	"2022"	"2022"	"60 years"	"60"	74	6564	1127.4
	"2022"	"2022"	"61 years"	"61"	98	6419	1526.7
	"2022"	"2022"	"62 years"	"62"	135	6304	2141.5
	"2022"	"2022"	"63 years"	"63"	95	6023	1577.3
	"2022"	"2022"	"64 years"	"64"	100	5886	1698.9
	"2022"	"2022"	"65 years"	"65"	109	5696	1913.6
	"2022"	"2022"	"66 years"	"66"	132	5652	2335.5
	"2022"	"2022"	"67 years"	"67"	122	5554	2196.6
	"2022"	"2022"	"68 years"	"68"	112	5449	2055.4
	"2022"	"2022"	"69 years"	"69"	118	5081	2322.4
	"2022"	"2022"	"70 years"	"70"	117	4797	2439.0
	"2022"	"2022"	"71 years"	"71"	118	4702	2509.6
	"2022"	"2022"	"72 years"	"72"	120	4555	2634.5
	"2022"	"2022"	"73 years"	"73"	140	4338	3227.3
	"2022"	"2022"	"74 years"	"74"	112	4151	2698.1
	"2022"	"2022"	"75 years"	"75"	109	4114	2649.5
	"2022"	"2022"	"76 years"	"76"	110	3082	3569.1
	"2022"	"2022"	"77 years"	"77"	119	3001	3965.3
	"2022"	"2022"	"78 years"	"78"	109	2859	3812.5
	"2022"	"2022"	"79 years"	"79"	118	2760	4275.4
	"2022"	"2022"	"80 years"	"80"	104	2453	4239.7
	"2022"	"2022"	"81 years"	"81"	106	2171	4882.5
	"2022"	"2022"	"82 years"	"82"	103	2058	5004.9
	"2022"	"2022"	"83 years"	"83"	99	1891	5235.3
	"2022"	"2022"	"84 years"	"84"	124	1725	7188.4
	"2022"	"2022"	"85 years"	"85"	105	Not Applicable	Not Applicable
	"2022"	"2022"	"86 years"	"86"	91	Not Applicable	Not Applicable
	"2022"	"2022"	"87 years"	"87"	110	Not Applicable	Not Applicable
	"2022"	"2022"	"88 years"	"88"	91	Not Applicable	Not Applicable
	"2022"	"2022"	"89 years"	"89"	104	Not Applicable	Not Applicable
	"2022"	"2022"	"90 years"	"90"	78	Not Applicable	Not Applicable
	"2022"	"2022"	"91 years"	"91"	98	Not Applicable	Not Applicable
	"2022"	"2022"	"92 years"	"92"	83	Not Applicable	Not Applicable
	"2022"	"2022"	"93 years"	"93"	88	Not Applicable	Not Applicable
	"2022"	"2022"	"94 years"	"94"	66	Not Applicable	Not Applicable
	"2022"	"2022"	"95 years"	"95"	86	Not Applicable	Not Applicable
	"2022"	"2022"	"96 years"	"96"	53	Not Applicable	Not Applicable
	"2022"	"2022"	"97 years"	"97"	44	Not Applicable	Not Applicable
	"2022"	"2022"	"98 years"	"98"	41	Not Applicable	Not Applicable
	"2022"	"2022"	"99 years"	"99"	31	Not Applicable	Not Applicable
	"2022"	"2022"	"100+ years"	"100"	91	Not Applicable	Not Applicable
	"2022"	"2022"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2023"	"2023"	"< 1 year"	"0"	52	7791	667.4
	"2023"	"2023"	"8 years"	"8"	0	7570	Unreliable
	"2023"	"2023"	"11 years"	"11"	0	6958	Unreliable
	"2023"	"2023"	"12 years"	"12"	0	6734	Unreliable
	"2023"	"2023"	"18 years"	"18"	16	8702	Unreliable
	"2023"	"2023"	"19 years"	"19"	12	11492	Unreliable
	"2023"	"2023"	"23 years"	"23"	15	9676	Unreliable
