"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2002"	"2002"	"47 years"	"47"	439	132546	331.2
	"2002"	"2002"	"48 years"	"48"	436	125017	348.8
	"2002"	"2002"	"49 years"	"49"	476	120839	393.9
	"2002"	"2002"	"50 years"	"50"	479	115984	413.0
	"2002"	"2002"	"51 years"	"51"	494	114480	431.5
	"2002"	"2002"	"52 years"	"52"	515	114655	449.2
	"2002"	"2002"	"53 years"	"53"	531	109631	484.4
	"2002"	"2002"	"54 years"	"54"	637	111763	570.0
	"2002"	"2002"	"55 years"	"55"	685	118664	577.3
	"2002"	"2002"	"56 years"	"56"	603	89319	675.1
	"2002"	"2002"	"57 years"	"57"	644	86720	742.6
	"2002"	"2002"	"58 years"	"58"	654	85556	764.4
	"2002"	"2002"	"59 years"	"59"	762	92291	825.6
	"2002"	"2002"	"60 years"	"60"	698	78823	885.5
	"2002"	"2002"	"61 years"	"61"	697	71098	980.3
	"2002"	"2002"	"62 years"	"62"	800	69684	1148.0
	"2002"	"2002"	"63 years"	"63"	756	65824	1148.5
	"2002"	"2002"	"64 years"	"64"	835	65047	1283.7
	"2002"	"2002"	"65 years"	"65"	870	60729	1432.6
	"2002"	"2002"	"66 years"	"66"	942	59008	1596.4
	"2002"	"2002"	"67 years"	"67"	957	58485	1636.3
	"2002"	"2002"	"68 years"	"68"	1029	54909	1874.0
	"2002"	"2002"	"69 years"	"69"	1197	55530	2155.6
	"2002"	"2002"	"70 years"	"70"	1227	55592	2207.2
	"2002"	"2002"	"71 years"	"71"	1374	55416	2479.4
	"2002"	"2002"	"72 years"	"72"	1492	56282	2650.9
	"2002"	"2002"	"73 years"	"73"	1618	53360	3032.2
	"2002"	"2002"	"74 years"	"74"	1711	53070	3224.0
	"2002"	"2002"	"75 years"	"75"	1867	51565	3620.7
	"2002"	"2002"	"76 years"	"76"	1956	49270	3970.0
	"2002"	"2002"	"77 years"	"77"	2080	48872	4256.0
	"2002"	"2002"	"78 years"	"78"	2140	46086	4643.5
	"2002"	"2002"	"79 years"	"79"	2284	43137	5294.8
	"2002"	"2002"	"80 years"	"80"	2353	40717	5778.9
	"2002"	"2002"	"81 years"	"81"	2426	39169	6193.7
	"2002"	"2002"	"82 years"	"82"	2508	35430	7078.7
	"2002"	"2002"	"83 years"	"83"	2346	29511	7949.6
	"2002"	"2002"	"84 years"	"84"	2408	28254	8522.7
	"2002"	"2002"	"85 years"	"85"	2338	Not Applicable	Not Applicable
	"2002"	"2002"	"86 years"	"86"	2377	Not Applicable	Not Applicable
	"2002"	"2002"	"87 years"	"87"	2316	Not Applicable	Not Applicable
	"2002"	"2002"	"88 years"	"88"	2199	Not Applicable	Not Applicable
	"2002"	"2002"	"89 years"	"89"	2061	Not Applicable	Not Applicable
	"2002"	"2002"	"90 years"	"90"	1823	Not Applicable	Not Applicable
	"2002"	"2002"	"91 years"	"91"	1696	Not Applicable	Not Applicable
	"2002"	"2002"	"92 years"	"92"	1539	Not Applicable	Not Applicable
	"2002"	"2002"	"93 years"	"93"	1306	Not Applicable	Not Applicable
	"2002"	"2002"	"94 years"	"94"	1093	Not Applicable	Not Applicable
	"2002"	"2002"	"95 years"	"95"	833	Not Applicable	Not Applicable
	"2002"	"2002"	"96 years"	"96"	661	Not Applicable	Not Applicable
	"2002"	"2002"	"97 years"	"97"	513	Not Applicable	Not Applicable
	"2002"	"2002"	"98 years"	"98"	399	Not Applicable	Not Applicable
	"2002"	"2002"	"99 years"	"99"	299	Not Applicable	Not Applicable
	"2002"	"2002"	"100+ years"	"100"	541	Not Applicable	Not Applicable
	"2002"	"2002"	"Not Stated"	"NS"	22	Not Applicable	Not Applicable
	"2003"	"2003"	"< 1 year"	"0"	661	114986	574.9
	"2003"	"2003"	"1 year"	"1"	41	112404	36.5
	"2003"	"2003"	"2 years"	"2"	35	112610	31.1
	"2003"	"2003"	"3 years"	"3"	17	113772	Unreliable
	"2003"	"2003"	"4 years"	"4"	14	112694	Unreliable
	"2003"	"2003"	"5 years"	"5"	14	113163	Unreliable
	"2003"	"2003"	"6 years"	"6"	17	113765	Unreliable
	"2003"	"2003"	"7 years"	"7"	21	116565	18.0
	"2003"	"2003"	"8 years"	"8"	11	118529	Unreliable
	"2003"	"2003"	"9 years"	"9"	Suppressed	120053	Suppressed
	"2003"	"2003"	"10 years"	"10"	16	122764	Unreliable
	"2003"	"2003"	"11 years"	"11"	16	123827	Unreliable
	"2003"	"2003"	"12 years"	"12"	13	125972	Unreliable
	"2003"	"2003"	"13 years"	"13"	14	128412	Unreliable
	"2003"	"2003"	"14 years"	"14"	20	123319	16.2
	"2003"	"2003"	"15 years"	"15"	21	120438	17.4
	"2003"	"2003"	"16 years"	"16"	28	116829	24.0
	"2003"	"2003"	"17 years"	"17"	54	115912	46.6
	"2003"	"2003"	"18 years"	"18"	63	107476	58.6
	"2003"	"2003"	"19 years"	"19"	76	96816	78.5
	"2003"	"2003"	"20 years"	"20"	93	99272	93.7
	"2003"	"2003"	"21 years"	"21"	99	98787	100.2
	"2003"	"2003"	"22 years"	"22"	99	99422	99.6
